species	genu	family
Thymus_kirgisorum	Thymus	Lamiaceae
Thymus_kosteleckyanus	Thymus	Lamiaceae
Thymus_mastichina	Thymus	Lamiaceae
Alnus_incana	Alnus	Betulaceae
Alnus_pubescens	Alnus	Betulaceae
Anacamptis_papilionacea	Anacamptis	Orchidaceae
Arisarum_aspergillum	Arisarum	Araceae
Arisarum_simorrhinum	Arisarum	Araceae
Arum_apulum	Arum	Araceae
Arum_besserianum	Arum	Araceae
Arum_concinnatum	Arum	Araceae
Arum_creticum	Arum	Araceae
Arum_cyrenaicum	Arum	Araceae
Arum_idaeum	Arum	Araceae
Arum_italicum	Arum	Araceae
Arum_maculatum	Arum	Araceae
Arum_nigrum	Arum	Araceae
Arum_orientale	Arum	Araceae
Arum_purpureospathum	Arum	Araceae
Betula_aurata	Betula	Betulaceae
Betula_bottnica	Betula	Betulaceae
Betula_celtiberica	Betula	Betulaceae
Betula_klokovii	Betula	Betulaceae
Betula_plettkei	Betula	Betulaceae
Betula_psammophila	Betula	Betulaceae
Betula_pubescens	Betula	Betulaceae
Calla_palustris	Calla	Araceae
Cephalopactis_hybrida	Cephalopactis	Orchidaceae
Ceratophyllum_muricatum	Ceratophyllum	Ceratophyllaceae
Cornus_alba	Cornus	Cornaceae
Cornus_sanguinea	Cornus	Cornaceae
Dactylodenia_heinzeliana	Dactylodenia	Orchidaceae
Dactylodenia_lebrunii	Dactylodenia	Orchidaceae
Dactylodenia_varia	Dactylodenia	Orchidaceae
Dactylodenia_vitosensis	Dactylodenia	Orchidaceae
Dactylodenia_vollmannii	Dactylodenia	Orchidaceae
Dactylodenia_zollikoferi	Dactylodenia	Orchidaceae
Drosera_rotundifolia	Drosera	Droseraceae
Euphorbia_agraria	Euphorbia	Euphorbiaceae
Euphorbia_angulata	Euphorbia	Euphorbiaceae
Euphorbia_apios	Euphorbia	Euphorbiaceae
Euphorbia_aulacosperma	Euphorbia	Euphorbiaceae
Euphorbia_austriaca	Euphorbia	Euphorbiaceae
